credit_history;purpose;credit_amount;savings_status;employment;installment_commitment;personal_status;age;housing;existing_credits;job;class
'all paid';radio/tv;1750;'500<=X<1000';'>=7';2;'male single';45;own;1;'unskilled resident';good
'existing paid';radio/tv;6999;'<100';'4<=X<7';1;'male mar/wid';34;own;2;skilled;bad
'critical/other existing credit';'new car';1995;'100<=X<500';'<1';4;'male single';27;own;1;skilled;good
'existing paid';education;1199;'<100';'4<=X<7';4;'female div/dep/mar';67;own;2;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;1331;'<100';'<1';2;'male single';22;own;1;skilled;bad
'no credits/all paid';'new car';2278;'100<=X<500';'<1';3;'female div/dep/mar';28;own;2;skilled;bad
'no credits/all paid';'new car';5003;'no known savings';'1<=X<4';1;'female div/dep/mar';29;own;2;skilled;bad
'all paid';furniture/equipment;3552;'<100';'4<=X<7';3;'male single';27;own;1;skilled;bad
'critical/other existing credit';furniture/equipment;1928;'<100';'<1';2;'male single';31;own;2;'unskilled resident';bad
'existing paid';'used car';2964;'no known savings';'>=7';4;'male single';49;'for free';1;skilled;good
'all paid';radio/tv;1546;'<100';'4<=X<7';4;'male single';24;rent;1;'unskilled resident';bad
'delayed previously';radio/tv;683;'<100';'<1';2;'female div/dep/mar';29;own;1;skilled;good
'existing paid';'new car';12389;'no known savings';'1<=X<4';1;'male single';37;'for free';1;skilled;bad
'delayed previously';business;4712;'no known savings';'1<=X<4';4;'male single';37;own;2;'high qualif/self emp/mgmt';good
'delayed previously';radio/tv;1553;'100<=X<500';'4<=X<7';3;'female div/dep/mar';23;rent;2;skilled;good
'existing paid';'new car';1372;'<100';'4<=X<7';2;'male div/sep';36;own;1;skilled;bad
'critical/other existing credit';radio/tv;2578;'>=1000';'>=7';2;'male single';34;own;1;skilled;good
'existing paid';radio/tv;3979;'no known savings';'4<=X<7';4;'male single';41;own;2;skilled;good
'existing paid';radio/tv;6758;'<100';'1<=X<4';3;'female div/dep/mar';31;own;1;skilled;bad
'existing paid';furniture/equipment;3234;'<100';'<1';4;'female div/dep/mar';23;rent;1;'unskilled resident';bad
'critical/other existing credit';radio/tv;5954;'<100';'4<=X<7';3;'male single';38;own;1;skilled;good
'existing paid';'used car';5433;'no known savings';unemployed;2;'female div/dep/mar';26;rent;1;'high qualif/self emp/mgmt';good
'existing paid';business;806;'<100';'1<=X<4';4;'female div/dep/mar';22;own;1;'unskilled resident';good
'existing paid';radio/tv;1082;'<100';'>=7';4;'male single';27;own;2;'unskilled resident';good
'critical/other existing credit';furniture/equipment;2788;'<100';'4<=X<7';2;'female div/dep/mar';24;own;2;skilled;good
'existing paid';radio/tv;2930;'<100';'4<=X<7';2;'female div/dep/mar';27;own;1;skilled;good
'critical/other existing credit';education;1927;'no known savings';'1<=X<4';3;'female div/dep/mar';33;own;2;skilled;good
'critical/other existing credit';'new car';2820;'<100';'<1';4;'male div/sep';27;own;2;skilled;bad
'existing paid';retraining;937;'<100';'<1';4;'male mar/wid';27;own;2;'unskilled resident';good
'critical/other existing credit';'new car';1056;'<100';'>=7';3;'male single';30;own;2;skilled;bad
'critical/other existing credit';'new car';3124;'<100';'<1';1;'male single';49;own;2;'unskilled resident';good
'existing paid';furniture/equipment;1388;'<100';'1<=X<4';4;'female div/dep/mar';26;rent;1;skilled;good
'existing paid';repairs;2384;'<100';'<1';4;'male single';33;rent;1;'unskilled resident';bad
'existing paid';'new car';2133;'no known savings';'>=7';4;'female div/dep/mar';52;'for free';1;'high qualif/self emp/mgmt';good
'existing paid';furniture/equipment;2039;'<100';'1<=X<4';1;'female div/dep/mar';20;rent;1;skilled;bad
'critical/other existing credit';'new car';2799;'<100';'1<=X<4';2;'male single';36;rent;2;skilled;good
'existing paid';furniture/equipment;1289;'<100';'1<=X<4';4;'male single';21;own;1;'unskilled resident';good
'existing paid';'domestic appliance';1217;'<100';'1<=X<4';4;'male mar/wid';47;own;1;'unskilled resident';bad
'critical/other existing credit';furniture/equipment;2246;'<100';'>=7';3;'male single';60;own;2;skilled;bad
'critical/other existing credit';radio/tv;385;'<100';'4<=X<7';4;'female div/dep/mar';58;own;4;'unskilled resident';good
'delayed previously';'new car';1965;'no known savings';'1<=X<4';4;'female div/dep/mar';42;rent;2;skilled;good
'existing paid';business;1572;'>=1000';'>=7';4;'female div/dep/mar';36;own;1;'unskilled resident';good
'existing paid';'new car';2718;'<100';'1<=X<4';3;'female div/dep/mar';20;rent;1;'unskilled resident';bad
'all paid';other;1358;'no known savings';'>=7';4;'male single';40;own;1;'high qualif/self emp/mgmt';bad
'all paid';'new car';931;'100<=X<500';'<1';1;'female div/dep/mar';32;own;1;'unskilled resident';bad
'existing paid';'new car';1442;'<100';'4<=X<7';4;'female div/dep/mar';23;rent;2;skilled;bad
'no credits/all paid';business;4241;'<100';'1<=X<4';1;'male single';36;own;3;'unskilled resident';bad
'critical/other existing credit';'new car';2775;'<100';'4<=X<7';2;'male single';31;own;2;skilled;bad
'delayed previously';business;3863;'<100';'1<=X<4';1;'male single';32;'for free';1;skilled;good
'existing paid';radio/tv;2329;'<100';'<1';1;'female div/dep/mar';45;own;1;skilled;good
'existing paid';furniture/equipment;918;'<100';'1<=X<4';4;'female div/dep/mar';30;own;1;skilled;bad
'all paid';education;1837;'<100';'4<=X<7';4;'female div/dep/mar';34;'for free';1;'unskilled resident';bad
'existing paid';furniture/equipment;3349;'<100';'1<=X<4';4;'female div/dep/mar';28;own;1;'high qualif/self emp/mgmt';bad
'existing paid';furniture/equipment;1275;'<100';'<1';4;'female div/dep/mar';23;own;1;skilled;good
'all paid';furniture/equipment;2828;'500<=X<1000';'1<=X<4';4;'male single';22;own;1;skilled;good
'critical/other existing credit';business;4526;'<100';'1<=X<4';3;'male single';74;own;1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;2671;'100<=X<500';'1<=X<4';4;'female div/dep/mar';50;'for free';1;skilled;bad
'existing paid';radio/tv;2051;'<100';'<1';4;'male single';33;own;1;skilled;good
'existing paid';'used car';1300;'no known savings';'>=7';4;'male single';45;'for free';1;skilled;good
'existing paid';'domestic appliance';741;'100<=X<500';unemployed;4;'female div/dep/mar';22;own;1;skilled;bad
'existing paid';'new car';1240;'100<=X<500';'>=7';1;'female div/dep/mar';48;'for free';1;'unskilled resident';bad
'existing paid';radio/tv;3357;'>=1000';'<1';4;'female div/dep/mar';29;own;1;skilled;good
'all paid';'used car';3632;'<100';'1<=X<4';1;'female div/dep/mar';22;rent;1;skilled;good
'delayed previously';furniture/equipment;1808;'<100';'4<=X<7';4;'female div/dep/mar';22;own;1;skilled;bad
'no credits/all paid';business;12204;'no known savings';'1<=X<4';2;'male single';48;own;1;'high qualif/self emp/mgmt';good
'delayed previously';radio/tv;9157;'no known savings';'1<=X<4';2;'male single';27;'for free';1;'high qualif/self emp/mgmt';good
'critical/other existing credit';'new car';3676;'<100';'1<=X<4';1;'male single';37;rent;3;skilled;good
'existing paid';furniture/equipment;3441;'100<=X<500';'1<=X<4';2;'female div/dep/mar';21;rent;1;skilled;bad
'existing paid';'new car';640;'<100';'1<=X<4';4;'male div/sep';49;own;1;'unskilled resident';good
'critical/other existing credit';business;3652;'<100';'4<=X<7';2;'male single';27;own;2;skilled;good
'critical/other existing credit';'new car';1530;'<100';'1<=X<4';3;'male single';32;own;2;skilled;bad
'existing paid';business;3914;'no known savings';'1<=X<4';4;'male div/sep';38;own;1;skilled;bad
'existing paid';furniture/equipment;1858;'<100';'<1';4;'female div/dep/mar';22;rent;1;skilled;good
'existing paid';radio/tv;2600;'<100';'1<=X<4';4;'male single';65;'for free';2;skilled;bad
'existing paid';radio/tv;1979;'no known savings';'>=7';4;'male single';35;own;1;skilled;good
'existing paid';furniture/equipment;2116;'<100';'1<=X<4';2;'male single';41;own;1;skilled;good
'all paid';'new car';1437;'100<=X<500';'4<=X<7';2;'male single';29;own;1;skilled;bad
'critical/other existing credit';furniture/equipment;4042;'500<=X<1000';'1<=X<4';4;'male single';36;own;2;skilled;good
'existing paid';education;3832;'no known savings';'>=7';1;'male single';64;own;1;'unskilled resident';good
'existing paid';radio/tv;3660;'<100';'1<=X<4';2;'female div/dep/mar';28;own;1;skilled;good
'all paid';furniture/equipment;1553;'<100';'1<=X<4';4;'male single';44;own;1;skilled;bad
'existing paid';radio/tv;1444;'no known savings';'<1';4;'male single';23;own;1;skilled;good
'existing paid';furniture/equipment;1980;'<100';'<1';2;'female div/dep/mar';19;rent;2;skilled;bad
'existing paid';'new car';1355;'<100';'<1';3;'female div/dep/mar';25;own;1;'unskilled resident';bad
'existing paid';education;1393;'<100';'>=7';4;'male single';47;own;3;skilled;good
'existing paid';radio/tv;1376;'500<=X<1000';'4<=X<7';4;'female div/dep/mar';28;own;1;skilled;good
'delayed previously';radio/tv;15653;'<100';'4<=X<7';2;'male single';21;own;2;skilled;good
'existing paid';radio/tv;1493;'<100';'<1';4;'female div/dep/mar';34;own;1;skilled;good
'delayed previously';radio/tv;4370;'<100';'4<=X<7';3;'male single';26;own;2;skilled;bad
'existing paid';education;750;'<100';unemployed;4;'female div/dep/mar';27;own;1;'unemp/unskilled non res';bad
'existing paid';repairs;1308;'<100';'>=7';4;'male single';38;own;2;'unskilled resident';good
'existing paid';education;4623;'100<=X<500';'1<=X<4';3;'male single';40;own;1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';radio/tv;1851;'<100';'4<=X<7';4;'male mar/wid';33;own;2;skilled;good
'critical/other existing credit';radio/tv;1880;'<100';'4<=X<7';4;'male mar/wid';32;own;2;'high qualif/self emp/mgmt';good
'delayed previously';business;7980;'no known savings';'<1';4;'male single';27;rent;2;skilled;bad
'no credits/all paid';furniture/equipment;4583;'<100';'1<=X<4';2;'male div/sep';32;own;2;skilled;good
'existing paid';'new car';1386;'500<=X<1000';'1<=X<4';2;'female div/dep/mar';26;own;1;skilled;bad
'existing paid';'new car';947;'<100';'4<=X<7';4;'male single';38;'for free';1;skilled;bad
'existing paid';education;684;'<100';'1<=X<4';4;'male single';40;rent;1;'unskilled resident';bad
'existing paid';education;7476;'<100';'4<=X<7';4;'male single';50;'for free';1;'high qualif/self emp/mgmt';good
'existing paid';furniture/equipment;1922;'<100';'1<=X<4';4;'male single';37;own;1;'unskilled resident';bad
'existing paid';'new car';2303;'<100';'>=7';4;'male single';45;own;1;skilled;bad
'delayed previously';'new car';8086;'100<=X<500';'>=7';2;'male single';42;own;4;'high qualif/self emp/mgmt';bad
'critical/other existing credit';'used car';2346;'<100';'4<=X<7';4;'male single';35;own;2;skilled;good
'existing paid';'new car';3973;'<100';unemployed;1;'male single';22;'for free';1;skilled;good
'existing paid';'new car';888;'<100';'>=7';4;'male single';41;own;1;'unskilled resident';bad
'existing paid';radio/tv;10222;'no known savings';'4<=X<7';4;'male single';37;own;1;skilled;good
'no credits/all paid';business;4221;'<100';'1<=X<4';2;'female div/dep/mar';28;own;2;skilled;good
'critical/other existing credit';furniture/equipment;6361;'<100';'>=7';2;'male single';41;own;1;skilled;good
'existing paid';radio/tv;1297;'<100';'1<=X<4';3;'male mar/wid';23;rent;1;skilled;good
'existing paid';'new car';900;'no known savings';'1<=X<4';4;'male mar/wid';23;own;1;skilled;bad
'existing paid';furniture/equipment;2241;'<100';'>=7';4;'male single';50;own;2;skilled;good
'delayed previously';furniture/equipment;1050;'<100';unemployed;4;'male single';35;own;2;'high qualif/self emp/mgmt';good
'critical/other existing credit';education;1047;'<100';'1<=X<4';2;'female div/dep/mar';50;own;1;'unskilled resident';good
'critical/other existing credit';other;6314;'<100';unemployed;4;'male single';27;own;2;'high qualif/self emp/mgmt';good
'all paid';furniture/equipment;3496;'>=1000';'1<=X<4';4;'male single';34;own;1;skilled;good
'all paid';business;3609;'<100';'1<=X<4';1;'female div/dep/mar';27;own;1;skilled;good
'critical/other existing credit';'new car';4843;'<100';'>=7';3;'male single';43;rent;2;skilled;bad
'critical/other existing credit';radio/tv;3017;'<100';'>=7';4;'male single';47;own;1;skilled;good
'critical/other existing credit';business;4139;'100<=X<500';'1<=X<4';3;'male single';27;own;2;'unskilled resident';good
'existing paid';business;5742;'100<=X<500';'4<=X<7';2;'male single';31;own;2;skilled;good
'existing paid';'new car';10366;'<100';'>=7';2;'male single';42;own;1;'high qualif/self emp/mgmt';good
'critical/other existing credit';'new car';2080;'500<=X<1000';'1<=X<4';1;'male mar/wid';24;own;1;skilled;good
'delayed previously';business;2580;'500<=X<1000';'<1';4;'male single';41;own;1;'unskilled resident';bad
'critical/other existing credit';radio/tv;4530;'<100';'4<=X<7';4;'female div/dep/mar';26;rent;1;'high qualif/self emp/mgmt';good
'critical/other existing credit';furniture/equipment;5150;'<100';'>=7';4;'male single';33;own;1;skilled;good
'existing paid';radio/tv;5595;'100<=X<500';'1<=X<4';2;'male mar/wid';24;own;1;skilled;bad
'existing paid';radio/tv;2384;'<100';'>=7';4;'male single';64;rent;1;'unskilled resident';good
'existing paid';radio/tv;1453;'<100';'<1';3;'female div/dep/mar';26;own;1;skilled;good
'existing paid';education;1538;'<100';'<1';1;'female div/dep/mar';56;own;1;skilled;good
'existing paid';radio/tv;2279;'no known savings';'1<=X<4';4;'male single';37;'for free';1;skilled;good
'delayed previously';radio/tv;1478;'<100';'1<=X<4';4;'male mar/wid';33;own;2;skilled;good
'critical/other existing credit';radio/tv;5103;'<100';'<1';3;'male mar/wid';47;'for free';3;skilled;good
'delayed previously';business;9857;'100<=X<500';'4<=X<7';1;'male single';31;own;2;'unskilled resident';good
'existing paid';'new car';6527;'no known savings';'1<=X<4';4;'male single';34;'for free';1;skilled;good
'critical/other existing credit';radio/tv;1347;'no known savings';'4<=X<7';4;'male single';27;own;2;skilled;good
'delayed previously';'new car';2862;'100<=X<500';'>=7';4;'male single';30;'for free';1;skilled;good
'existing paid';radio/tv;2753;'100<=X<500';'>=7';3;'male single';35;own;1;skilled;good
'existing paid';'new car';3651;'>=1000';'1<=X<4';1;'male single';31;own;1;skilled;good
'critical/other existing credit';furniture/equipment;975;'<100';'1<=X<4';2;'male div/sep';25;own;2;skilled;good
'existing paid';repairs;2631;'100<=X<500';'1<=X<4';3;'female div/dep/mar';25;own;1;'unskilled resident';good
'existing paid';radio/tv;2896;'100<=X<500';'<1';2;'male single';29;own;1;skilled;good
'critical/other existing credit';'new car';4716;'no known savings';'<1';1;'male single';44;own;2;'unskilled resident';good
'existing paid';radio/tv;2284;'<100';'4<=X<7';4;'male single';28;own;1;skilled;good
'existing paid';'used car';1236;'500<=X<1000';'1<=X<4';2;'male single';50;rent;1;skilled;good
'existing paid';radio/tv;1103;'<100';'4<=X<7';4;'male single';29;own;2;skilled;good
'critical/other existing credit';'new car';926;'<100';unemployed;1;'female div/dep/mar';38;own;1;'unemp/unskilled non res';good
'critical/other existing credit';radio/tv;1800;'<100';'1<=X<4';4;'male single';24;own;2;skilled;good
'existing paid';education;1905;'<100';'>=7';4;'male single';40;rent;1;'high qualif/self emp/mgmt';good
'existing paid';furniture/equipment;1123;'500<=X<1000';'1<=X<4';4;'female div/dep/mar';29;rent;1;'unskilled resident';bad
'critical/other existing credit';'used car';6331;'<100';'>=7';4;'male single';46;'for free';2;skilled;bad
'existing paid';radio/tv;1377;'100<=X<500';'>=7';4;'female div/dep/mar';47;'for free';1;skilled;good
'delayed previously';business;2503;'100<=X<500';'>=7';4;'male single';41;own;2;skilled;good
'existing paid';business;2528;'<100';'<1';4;'female div/dep/mar';32;own;1;skilled;good
'existing paid';'new car';5324;'500<=X<1000';'>=7';1;'female div/dep/mar';35;'for free';1;skilled;good
'existing paid';'new car';6560;'100<=X<500';'4<=X<7';3;'male single';24;own;1;skilled;bad
'no credits/all paid';furniture/equipment;2969;'<100';'<1';4;'female div/dep/mar';25;rent;2;skilled;bad
'existing paid';radio/tv;1206;'<100';'>=7';4;'female div/dep/mar';25;own;1;skilled;good
'existing paid';radio/tv;2118;'<100';'1<=X<4';2;'male single';37;own;1;'unskilled resident';good
'critical/other existing credit';radio/tv;629;'500<=X<1000';'>=7';4;'male single';32;own;2;'high qualif/self emp/mgmt';good
'all paid';education;1198;'<100';'>=7';4;'female div/dep/mar';35;'for free';1;skilled;bad
'existing paid';'used car';2476;'no known savings';'>=7';4;'male single';46;own;1;'high qualif/self emp/mgmt';good
'critical/other existing credit';radio/tv;1138;'<100';'1<=X<4';4;'male single';25;own;2;'unskilled resident';good
'existing paid';'new car';14027;'<100';'4<=X<7';4;'male single';27;own;1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';'used car';7596;'no known savings';'>=7';1;'male single';63;own;2;skilled;good
'critical/other existing credit';radio/tv;3077;'no known savings';'>=7';3;'male single';40;own;2;skilled;good
'existing paid';radio/tv;1505;'<100';'1<=X<4';4;'male single';32;'for free';1;'high qualif/self emp/mgmt';good
'critical/other existing credit';radio/tv;3148;'no known savings';'1<=X<4';3;'male single';31;own;2;skilled;good
'no credits/all paid';'used car';6148;'100<=X<500';'>=7';3;'male mar/wid';31;own;2;skilled;good
'no credits/all paid';radio/tv;1337;'<100';'<1';4;'male single';34;own;2;'high qualif/self emp/mgmt';bad
'all paid';education;433;'>=1000';'<1';4;'female div/dep/mar';24;rent;1;skilled;bad
'existing paid';'new car';1228;'<100';'1<=X<4';4;'female div/dep/mar';24;own;1;'unskilled resident';bad
'existing paid';radio/tv;790;'500<=X<1000';'1<=X<4';4;'female div/dep/mar';66;own;1;'unskilled resident';good
'existing paid';'new car';2570;'<100';'1<=X<4';3;'female div/dep/mar';21;rent;1;skilled;bad
'critical/other existing credit';'new car';250;'>=1000';'1<=X<4';2;'female div/dep/mar';41;own;2;'unskilled resident';good
'critical/other existing credit';radio/tv;1316;'500<=X<1000';'1<=X<4';2;'male mar/wid';47;own;2;'unskilled resident';good
'existing paid';radio/tv;1882;'<100';'1<=X<4';4;'female div/dep/mar';25;rent;2;skilled;bad
'all paid';business;6416;'<100';'>=7';4;'female div/dep/mar';59;rent;1;skilled;bad
'critical/other existing credit';business;1275;'>=1000';'1<=X<4';2;'male div/sep';36;own;2;skilled;good
'delayed previously';radio/tv;6403;'<100';'<1';1;'male single';33;own;1;skilled;good
'existing paid';radio/tv;1987;'<100';'1<=X<4';2;'male single';21;rent;1;'unskilled resident';bad
'existing paid';radio/tv;760;'<100';'4<=X<7';4;'female div/dep/mar';44;own;1;'unskilled resident';good
'existing paid';'used car';2603;'>=1000';'1<=X<4';2;'female div/dep/mar';28;rent;1;skilled;good
'critical/other existing credit';'new car';3380;'<100';'4<=X<7';1;'female div/dep/mar';37;own;1;skilled;good
'all paid';'domestic appliance';3990;'no known savings';'<1';3;'female div/dep/mar';29;own;1;'unemp/unskilled non res';good
'existing paid';'used car';11560;'<100';'1<=X<4';1;'female div/dep/mar';23;rent;2;'high qualif/self emp/mgmt';bad
'existing paid';'new car';4380;'100<=X<500';'1<=X<4';3;'male single';35;own;1;'unskilled resident';good
'critical/other existing credit';'new car';6761;'<100';'4<=X<7';1;'male single';45;own;2;'high qualif/self emp/mgmt';good
'no credits/all paid';business;4280;'100<=X<500';'1<=X<4';4;'female div/dep/mar';26;rent;2;'unskilled resident';bad
'all paid';'new car';2325;'100<=X<500';'4<=X<7';2;'male single';32;own;1;skilled;good
'all paid';radio/tv;1048;'<100';'1<=X<4';4;'male single';23;own;1;'unskilled resident';good
'existing paid';radio/tv;3160;'no known savings';'>=7';4;'male single';41;own;1;skilled;good
'all paid';furniture/equipment;2483;'500<=X<1000';'1<=X<4';4;'male single';22;own;1;skilled;good
'critical/other existing credit';furniture/equipment;14179;'no known savings';'4<=X<7';4;'male single';30;own;2;'high qualif/self emp/mgmt';good
'critical/other existing credit';business;1797;'<100';'<1';3;'male single';28;own;2;'unskilled resident';good
'existing paid';'new car';2511;'<100';unemployed;1;'female div/dep/mar';23;rent;1;skilled;good
'existing paid';'new car';1274;'<100';'<1';3;'female div/dep/mar';37;own;1;'unskilled resident';bad
'existing paid';'used car';5248;'no known savings';'1<=X<4';1;'male single';26;own;1;skilled;good
'existing paid';'used car';3029;'<100';'4<=X<7';2;'male single';33;own;1;skilled;good
'existing paid';furniture/equipment;428;'<100';'>=7';2;'female div/dep/mar';49;own;1;skilled;good
'existing paid';'new car';976;'<100';'<1';1;'female div/dep/mar';23;own;1;'unskilled resident';bad
'existing paid';business;841;'100<=X<500';'4<=X<7';2;'female div/dep/mar';23;rent;1;'unskilled resident';good
'critical/other existing credit';radio/tv;5771;'<100';'4<=X<7';4;'female div/dep/mar';25;own;2;skilled;good
'delayed previously';repairs;1555;'>=1000';'>=7';4;'male single';55;'for free';2;skilled;bad
'existing paid';'new car';1285;'no known savings';'4<=X<7';4;'female div/dep/mar';32;rent;1;skilled;bad
'critical/other existing credit';'new car';1299;'<100';'1<=X<4';1;'male single';74;own;3;'unemp/unskilled non res';good
'critical/other existing credit';radio/tv;1271;'no known savings';'1<=X<4';3;'male single';39;'for free';2;skilled;bad
'existing paid';'new car';1393;'<100';'1<=X<4';2;'male single';31;own;1;skilled;good
'critical/other existing credit';'new car';691;'<100';'>=7';4;'male single';35;own;2;skilled;bad
'critical/other existing credit';'new car';5045;'no known savings';'>=7';1;'female div/dep/mar';59;own;1;skilled;good
'critical/other existing credit';furniture/equipment;2124;'<100';'1<=X<4';4;'female div/dep/mar';24;rent;2;skilled;bad
'existing paid';radio/tv;2214;'<100';'1<=X<4';4;'male single';24;own;1;'unskilled resident';good
'critical/other existing credit';'new car';12680;'no known savings';'>=7';4;'male single';30;'for free';1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';'new car';2463;'100<=X<500';'4<=X<7';4;'male mar/wid';27;own;2;skilled;good
'existing paid';radio/tv;1155;'<100';'>=7';3;'male mar/wid';40;own;2;'unskilled resident';good
'existing paid';furniture/equipment;3108;'<100';'<1';2;'male div/sep';31;own;1;'unskilled resident';bad
'existing paid';'used car';2901;'no known savings';'<1';1;'female div/dep/mar';31;rent;1;skilled;good
'critical/other existing credit';furniture/equipment;3617;'<100';'>=7';1;'male single';28;rent;3;skilled;good
'critical/other existing credit';radio/tv;1655;'<100';'>=7';2;'male single';63;own;2;'unskilled resident';good
'existing paid';'used car';2812;'no known savings';'>=7';2;'female div/dep/mar';26;rent;1;skilled;good
'critical/other existing credit';education;8065;'<100';'1<=X<4';3;'female div/dep/mar';25;own;2;'high qualif/self emp/mgmt';bad
'critical/other existing credit';'used car';3275;'<100';'>=7';1;'male single';36;own;1;'high qualif/self emp/mgmt';good
'critical/other existing credit';radio/tv;2223;'100<=X<500';'>=7';4;'male single';52;own;2;skilled;good
'critical/other existing credit';'new car';1480;'500<=X<1000';unemployed;2;'male single';66;'for free';3;'unemp/unskilled non res';good
'existing paid';'new car';1371;'no known savings';'1<=X<4';4;'female div/dep/mar';25;rent;1;skilled;bad
'critical/other existing credit';'new car';3535;'<100';'4<=X<7';4;'male single';37;own;2;skilled;good
'existing paid';radio/tv;3509;'<100';'4<=X<7';4;'female div/dep/mar';25;own;1;skilled;good
'critical/other existing credit';'used car';5711;'>=1000';'>=7';4;'male single';38;own;2;'high qualif/self emp/mgmt';good
'existing paid';repairs;3872;'<100';unemployed;2;'female div/dep/mar';67;own;1;skilled;good
'critical/other existing credit';radio/tv;4933;'<100';'4<=X<7';2;'male single';25;own;2;skilled;bad
'critical/other existing credit';'new car';1940;'>=1000';'>=7';4;'male single';60;own;1;skilled;good
'no credits/all paid';retraining;1410;'<100';'1<=X<4';2;'male single';31;own;1;'unskilled resident';good
'existing paid';'new car';836;'100<=X<500';'<1';4;'female div/dep/mar';23;own;1;'unskilled resident';bad
'existing paid';'used car';6468;'no known savings';unemployed;1;'male div/sep';60;own;1;'high qualif/self emp/mgmt';good
'existing paid';business;1941;'>=1000';'1<=X<4';4;'male single';35;own;1;'unskilled resident';good
'existing paid';radio/tv;2675;'500<=X<1000';'>=7';3;'male single';40;own;1;skilled;good
'critical/other existing credit';'used car';2751;'no known savings';'>=7';4;'male single';38;own;2;skilled;good
'delayed previously';education;6224;'<100';'>=7';4;'male single';50;'for free';1;skilled;bad
'critical/other existing credit';education;5998;'<100';'1<=X<4';4;'male single';27;own;1;skilled;bad
'existing paid';business;1188;'<100';'>=7';2;'female div/dep/mar';39;own;1;skilled;bad
'existing paid';'used car';6313;'no known savings';'>=7';3;'male single';41;own;1;'high qualif/self emp/mgmt';good
'critical/other existing credit';furniture/equipment;1221;'no known savings';'1<=X<4';1;'male mar/wid';27;own;2;skilled;good
'existing paid';furniture/equipment;2892;'<100';'>=7';3;'male div/sep';51;'for free';1;skilled;good
'existing paid';furniture/equipment;3062;'500<=X<1000';'>=7';4;'male single';32;rent;1;skilled;good
'existing paid';furniture/equipment;2301;'100<=X<500';'<1';2;'female div/dep/mar';22;rent;1;skilled;good
'existing paid';'used car';7511;'no known savings';'>=7';1;'male single';51;'for free';1;skilled;bad
'critical/other existing credit';furniture/equipment;1258;'<100';'<1';2;'female div/dep/mar';22;rent;2;'unskilled resident';good
'delayed previously';'new car';717;'no known savings';'>=7';4;'male mar/wid';54;own;2;skilled;good
'existing paid';'new car';1549;'no known savings';'<1';4;'male single';35;own;1;'unemp/unskilled non res';good
'critical/other existing credit';education;1597;'<100';'>=7';4;'male single';54;'for free';2;skilled;good
'critical/other existing credit';radio/tv;1795;'<100';'>=7';3;'female div/dep/mar';48;rent;2;'unskilled resident';good
'critical/other existing credit';furniture/equipment;4272;'<100';'>=7';1;'female div/dep/mar';24;own;2;skilled;good
'critical/other existing credit';radio/tv;976;'no known savings';'>=7';4;'male single';35;own;2;skilled;good
'existing paid';'new car';7472;'no known savings';unemployed;1;'female div/dep/mar';24;rent;1;'unemp/unskilled non res';good
'existing paid';'new car';9271;'<100';'4<=X<7';2;'male single';24;own;1;skilled;bad
'existing paid';radio/tv;590;'<100';'<1';3;'male mar/wid';26;own;1;'unskilled resident';good
'critical/other existing credit';radio/tv;930;'no known savings';'>=7';4;'male single';65;own;4;skilled;good
'all paid';'used car';9283;'<100';unemployed;1;'male single';55;'for free';1;'high qualif/self emp/mgmt';good
'no credits/all paid';'new car';1778;'<100';'<1';2;'female div/dep/mar';26;rent;2;'unemp/unskilled non res';bad
'existing paid';business;907;'<100';'<1';3;'male mar/wid';26;own;1;skilled;good
'existing paid';radio/tv;484;'<100';'4<=X<7';3;'male mar/wid';28;own;1;'unskilled resident';good
'critical/other existing credit';'used car';9629;'<100';'4<=X<7';4;'male single';24;own;2;skilled;bad
'existing paid';'domestic appliance';3051;'<100';'1<=X<4';3;'male single';54;own;1;skilled;bad
'existing paid';'new car';3931;'<100';'4<=X<7';4;'male single';46;'for free';1;skilled;bad
'delayed previously';'new car';7432;'<100';'1<=X<4';2;'female div/dep/mar';54;rent;1;skilled;good
'existing paid';'domestic appliance';1338;'500<=X<1000';'1<=X<4';1;'male div/sep';62;own;1;skilled;good
'critical/other existing credit';radio/tv;1554;'<100';'4<=X<7';1;'female div/dep/mar';24;rent;2;skilled;good
'existing paid';other;15857;'<100';unemployed;2;'male div/sep';43;own;1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;1345;'<100';'1<=X<4';4;'male mar/wid';26;own;1;skilled;bad
'existing paid';'new car';1101;'<100';'1<=X<4';3;'male mar/wid';27;own;2;skilled;good
'existing paid';radio/tv;3016;'<100';'1<=X<4';3;'male mar/wid';24;own;1;skilled;good
'existing paid';furniture/equipment;2712;'<100';'>=7';2;'male single';41;own;1;skilled;bad
'critical/other existing credit';'new car';731;'<100';'>=7';4;'male single';47;own;2;'unskilled resident';good
'critical/other existing credit';furniture/equipment;3780;'<100';'<1';3;'male div/sep';35;own;2;'high qualif/self emp/mgmt';good
'critical/other existing credit';'new car';1602;'<100';'>=7';4;'male mar/wid';30;own;2;skilled;good
